steps,periods,consumers,demand
6,0,10,12.19786231419645
6,0,11,4.538554823834089
6,0,12,13.066025349808665
6,0,13,19.76817627482793
6,0,14,4.538554823834089
6,0,15,13.066025349808665
7,0,0,12.223274527351027
7,0,1,4.265946823051847
7,0,2,12.716265589010726
7,0,3,12.716265589010726
7,0,4,4.265946823051847
7,0,5,4.265946823051847
7,0,6,12.716265589010726
7,0,7,12.223274527351027
7,0,8,18.49537619274645
7,0,9,18.49537619274645
7,0,10,12.223274527351027
7,0,11,4.265946823051847
7,0,12,12.716265589010726
7,0,13,18.49537619274645
7,0,14,4.265946823051847
7,0,15,12.716265589010726
8,0,0,11.283022640631717
8,0,1,3.890189849000647
8,0,2,12.416471508326778
8,0,3,12.416471508326778
8,0,4,3.890189849000647
8,0,5,3.890189849000647
8,0,6,12.416471508326778
8,0,7,11.283022640631717
8,0,8,17.898751154270755
8,0,9,17.898751154270755
8,0,10,11.283022640631717
8,0,11,3.890189849000647
8,0,12,12.416471508326778
8,0,13,17.898751154270755
8,0,14,3.890189849000647
8,0,15,12.416471508326778
9,0,0,11.130549361704261
9,0,1,3.588110712998704
9,0,2,11.7419348267879
9,0,3,11.7419348267879
9,0,4,3.588110712998704
9,0,5,3.588110712998704
9,0,6,11.7419348267879
9,0,7,11.130549361704261
9,0,8,16.705501077319376
9,0,9,16.705501077319376
9,0,10,11.130549361704261
9,0,11,3.588110712998704
9,0,12,11.7419348267879
9,0,13,16.705501077319376
9,0,14,3.588110712998704
9,0,15,11.7419348267879
10,0,0,10.495244032839866
10,0,1,3.337606063631238
10,0,2,11.317226545818977
10,0,3,11.317226545818977
10,0,4,3.337606063631238
10,0,5,3.337606063631238
10,0,6,11.317226545818977
10,0,7,10.495244032839866
10,0,8,16.307751051668912
10,0,9,16.307751051668912
10,0,10,10.495244032839866
10,0,11,3.337606063631238
10,0,12,11.317226545818977
10,0,13,16.307751051668912
10,0,14,3.337606063631238
10,0,15,11.317226545818977
11,0,0,10.291946327603254
11,0,1,3.160779252313027
11,0,2,10.892518264850052
11,0,3,10.892518264850052
11,0,4,3.160779252313027
11,0,5,3.160779252313027
11,0,6,10.892518264850052
11,0,7,10.291946327603254
11,0,8,15.432700995237894
11,0,9,15.432700995237894
11,0,10,10.291946327603254
11,0,11,3.160779252313027
11,0,12,10.892518264850052
11,0,13,15.432700995237894
11,0,14,3.160779252313027
11,0,15,10.892518264850052
12,0,0,9.682053211893434
12,0,1,3.1239403332883997
12,0,2,10.667672704337091
12,0,3,10.667672704337091
12,0,4,3.1239403332883997
12,0,5,3.1239403332883997
12,0,6,10.667672704337091
12,0,7,9.682053211893434
12,0,8,14.67697594650202
12,0,9,14.67697594650202
12,0,10,9.682053211893434
12,0,11,3.1239403332883997
12,0,12,10.667672704337091
12,0,13,14.67697594650202
12,0,14,3.1239403332883997
12,0,15,10.667672704337091
13,0,0,9.783702064511736
13,0,1,3.094469198068697
13,0,2,10.517775663995119
13,0,3,10.517775663995119
13,0,4,3.094469198068697
13,0,5,3.094469198068697
13,0,6,10.517775663995119
13,0,7,9.783702064511736
13,0,8,15.194050979847617
13,0,9,15.194050979847617
13,0,10,9.783702064511736
13,0,11,3.094469198068697
13,0,12,10.517775663995119
13,0,13,15.194050979847617
13,0,14,3.094469198068697
13,0,15,10.517775663995119
14,0,0,9.732877638202583
14,0,1,3.1681470361179516
14,0,2,10.542758504052115
14,0,3,10.542758504052115
14,0,4,3.1681470361179516
14,0,5,3.1681470361179516
14,0,6,10.542758504052115
14,0,7,9.732877638202583
14,0,8,14.597425941371931
14,0,9,14.597425941371931
14,0,10,9.732877638202583
14,0,11,3.1681470361179516
14,0,12,10.542758504052115
14,0,13,14.597425941371931
14,0,14,3.1681470361179516
14,0,15,10.542758504052115
15,0,0,9.377106654038522
15,0,1,3.293399360801685
15,0,2,10.817569744679064
15,0,3,10.817569744679064
15,0,4,3.293399360801685
15,0,5,3.293399360801685
15,0,6,10.817569744679064
15,0,7,9.377106654038522
15,0,8,15.671351010628173
15,0,9,15.671351010628173
15,0,10,9.377106654038522
15,0,11,3.293399360801685
15,0,12,10.817569744679064
15,0,13,15.671351010628173
15,0,14,3.293399360801685
15,0,15,10.817569744679064
16,0,0,9.70746542504801
16,0,1,3.507065091144524
16,0,2,11.367192225932968
16,0,3,11.367192225932968
16,0,4,3.507065091144524
16,0,5,3.507065091144524
16,0,6,11.367192225932968
16,0,7,9.70746542504801
16,0,8,16.506626064494142
16,0,9,16.506626064494142
16,0,10,9.70746542504801
16,0,11,3.507065091144524
16,0,12,11.367192225932968
16,0,13,16.506626064494142
16,0,14,3.507065091144524
16,0,15,11.367192225932968
17,0,0,11.20678600116799
17,0,1,3.742834172902138
17,0,2,11.941797547243866
17,0,3,11.941797547243866
17,0,4,3.742834172902138
17,0,5,3.742834172902138
17,0,6,11.941797547243866
17,0,7,11.20678600116799
17,0,8,16.62595107218928
17,0,9,16.62595107218928
17,0,10,11.20678600116799
17,0,11,3.742834172902138
17,0,12,11.941797547243866
17,0,13,16.62595107218928
17,0,14,3.742834172902138
17,0,15,11.941797547243866
18,0,0,10.215709688139528
18,0,1,3.8386153623661694
18,0,2,12.466437188440771
18,0,3,12.466437188440771
18,0,4,3.8386153623661694
18,0,5,3.8386153623661694
18,0,6,12.466437188440771
18,0,7,10.215709688139528
18,0,8,16.66572607475433
18,0,9,16.66572607475433
18,0,10,10.215709688139528
18,0,11,3.8386153623661694
18,0,12,12.466437188440771
18,0,13,16.66572607475433
18,0,14,3.8386153623661694
18,0,15,12.466437188440771
19,0,0,9.783702064511736
19,0,1,3.882822065195722
19,0,2,12.816196949238709
19,0,3,12.816196949238709
19,0,4,3.882822065195722
19,0,5,3.882822065195722
19,0,6,12.816196949238709
19,0,7,9.783702064511736
19,0,8,17.421451123490204
19,0,9,17.421451123490204
19,0,10,9.783702064511736
19,0,11,3.882822065195722
19,0,12,12.816196949238709
19,0,13,17.421451123490204
19,0,14,3.882822065195722
19,0,15,12.816196949238709
20,0,0,10.368182967066984
20,0,1,3.7354663890972124
20,0,2,12.74124842906772
20,0,3,12.74124842906772
20,0,4,3.7354663890972124
20,0,5,3.7354663890972124
20,0,6,12.74124842906772
20,0,7,10.368182967066984
20,0,8,16.66572607475433
20,0,9,16.66572607475433
20,0,10,10.368182967066984
20,0,11,3.7354663890972124
20,0,12,12.74124842906772
20,0,13,16.66572607475433
20,0,14,3.7354663890972124
20,0,15,12.74124842906772
21,0,0,8.89427460410158
21,0,1,3.2860315769967596
21,0,2,11.666986306616915
21,0,3,11.666986306616915
21,0,4,3.2860315769967596
21,0,5,3.2860315769967596
21,0,6,11.666986306616915
21,0,7,8.89427460410158
21,0,8,15.671351010628173
21,0,9,15.671351010628173
21,0,10,8.89427460410158
21,0,11,3.2860315769967596
21,0,12,11.666986306616915
21,0,13,15.671351010628173
21,0,14,3.2860315769967596
21,0,15,11.666986306616915
22,0,0,8.08108378315515
22,0,1,2.2766451957219704
22,0,2,9.768290462285252
22,0,3,9.768290462285252
22,0,4,2.2766451957219704
22,0,5,2.2766451957219704
22,0,6,9.768290462285252
22,0,7,8.08108378315515
22,0,8,13.364400861855499
22,0,9,13.364400861855499
22,0,10,8.08108378315515
22,0,11,2.2766451957219704
22,0,12,9.768290462285252
22,0,13,13.364400861855499
22,0,14,2.2766451957219704
22,0,15,9.768290462285252
23,0,0,8.614740259401241
23,0,1,1.6209124370836037
23,0,2,7.095126576186732
23,0,3,7.095126576186732
23,0,4,1.6209124370836037
23,0,5,1.6209124370836037
23,0,6,7.095126576186732
23,0,7,8.614740259401241
23,0,8,12.767775823379806
23,0,9,12.767775823379806
23,0,10,8.614740259401241
23,0,11,1.6209124370836037
23,0,12,7.095126576186732
23,0,13,12.767775823379806
23,0,14,1.6209124370836037
23,0,15,7.095126576186732
24,0,0,7.01326585525867
24,0,1,1.2584441738170176
24,0,2,4.959021852020112
24,0,3,4.959021852020112
24,0,4,1.2584441738170176
24,0,5,1.2584441738170176
24,0,6,4.959021852020112
24,0,7,7.01326585525867
24,0,8,11.494957321328277
24,0,9,11.494957321328277
24,0,10,7.01326585525867
24,0,11,1.2584441738170176
24,0,12,4.959021852020112
24,0,13,11.494957321328277
24,0,14,1.2584441738170176
24,0,15,4.959021852020112
25,0,0,7.637734732781701
25,0,1,1.341488713205958
25,0,2,5.428118513697692
25,0,3,5.428118513697692
25,0,4,1.341488713205958
25,0,5,1.341488713205958
25,0,6,5.428118513697692
25,0,7,7.637734732781701
25,0,8,11.904162921763913
25,0,9,11.904162921763913
25,0,10,7.637734732781701
25,0,11,1.341488713205958
25,0,12,5.428118513697692
25,0,13,11.904162921763913
25,0,14,1.341488713205958
25,0,15,5.428118513697692
26,0,0,7.637734732781701
26,0,1,1.3925930451376134
26,0,2,5.227077087264443
26,0,3,5.227077087264443
26,0,4,1.3925930451376134
26,0,5,1.3925930451376134
26,0,6,5.227077087264443
26,0,7,7.637734732781701
26,0,8,13.05737870480979
26,0,9,13.05737870480979
