,0
0,46.25492725986447
1,29.292665985392805
2,32.22935130069858
3,43.97778075312951
4,123.21783816874675
5,172.90333012658996
6,19.694249841463712
7,7.350700649344314
8,15.892674930690596
9,12.51477578696521
10,24.815299842277096
11,6.553561910584669
12,5.938195922417836
13,18.63057658604836
14,43.55870814564913
15,12.248171894336878
16,1.7506816390078448
17,11.52542731843707
18,21.367691519209703
19,36.72942478779958
20,29.946916481873643
21,21.24961342418122
22,10.042205015104237
23,17.07802332567806
24,12.264365637552823
25,11.540247708806834
26,14.221502583873876
27,7.224189736451955
28,13.978430615718109
29,20.387319610085353
30,22.032068588952608
31,41.97772087632022
32,9.132337108577012
33,15.974499225706918
34,6.928982596499268
35,16.399347015086708
36,24.616353248829242
37,25.11175896640402
38,24.44592733677521
39,28.954336152488505
40,6.187098364061141
41,16.724288294150057
42,23.883576196443816
43,30.33265835100309
44,8.504526148547221
45,4.805251448619799
46,13.635709104411454
47,7.206338685612489
48,10.133859721707006
49,15.302805649552889
50,16.736496044550435
51,9.42756243961114
52,11.664686851752801
53,12.528233834964844
54,3.3142946521947243
55,2.1420962829049532
56,11.501216063804202
57,13.882088521511283
58,12.252841285713695
59,7.670026183690578
60,11.913157027638693
61,31.531052773766692
62,9.465680781060302
63,7.8420201235851446
64,12.990101562546847
65,18.267221659224695
66,19.75249652518952
67,27.49262256955018
68,8.920303077510072
69,26.66741332975181
70,25.120208136854437
71,12.698215520166432
72,22.47653537131693
73,9.860077014061467
74,7.166158269105599
75,24.249634398105336
76,9.875280826229318
77,16.86634721558453
78,29.961183656997868
79,34.418031652321986
80,59.64083206069098
81,23.664374659228212
82,28.062399175208018
83,15.107070658121843
84,6.563157053718831
85,20.72155769293171
86,22.318249219682674
87,2.669158349443133
88,10.065953357772838
89,7.321769012208257
90,29.045801840641605
91,21.467208809110478
92,27.91692573805243
93,5.382350600833512
94,28.25222811849721
95,46.21288780268751
96,11.404851416277841
97,4.094295083616887
98,20.65252744646931
99,29.90071462013736
100,0.9684360371691683
101,18.05216837332593
102,26.342655102933627
103,7.75690768208039
104,15.59063434200494
105,25.377881973057466
106,5.106344973492138
107,13.62691392667619
108,24.98778951139721
109,9.97502027003127
110,17.622043632920853
111,6.66756259815956
112,9.94794185708159
113,13.063787237940371
114,2.604281087655544
115,11.130389489096686
116,25.178923930936524
117,15.251360336261946
118,15.346423646891818
119,10.315622585287647
120,10.657767268189026
121,18.84783303135165
122,32.00181251180921
123,24.317712368430833
124,4.28985349873605
125,1.2190959515754167
126,24.169773622309595
127,1.9712047831272625
128,8.767595944426938
129,13.425069621408234
130,24.13074297719829
131,12.558653036319363
132,37.30615457214581
133,23.036149862762034
134,0.4645890380207243
135,8.99759002136411
136,2.386710790233578
137,11.427028748017912
138,20.872050448976566
139,9.307059576263702
140,17.016346355616335
141,10.941125344290127
142,6.566195872110187
143,8.111940348105342
144,6.8054196500875355
145,4.7246168196735026
146,6.254788889671311
147,23.148303528258985
148,21.443851931080246
149,2.260242119670064
150,12.300790426067037
151,7.694813447724898
152,14.803208337244172
153,12.554308440082355
154,5.86054425051168
155,9.713964575928783
156,10.612769570129572
157,11.546506626569618
158,18.487562554757254
159,10.11271778025342
160,10.349477258315696
161,10.082069307687828
162,13.551597735680739
163,9.704529411309647
164,15.210176562241307
165,15.538757717267682
166,14.735968686212228
167,26.035550435833063
168,9.780493464819717
169,11.496305960870036
170,25.84266577754778
171,7.114615393674401
172,9.98918013124907
173,18.57344961733293
174,14.305093921139742
175,15.533806648529742
176,16.951986428613566
177,7.836170005485664
178,14.081161290385893
179,18.08320665394943
180,16.97778002422655
181,14.314765598298672
182,20.073370705776572
183,12.421085481277416
184,9.523799110086832
185,17.607360380917445
186,13.883971618426234
187,17.2953861343831
188,13.081599845430624
189,12.249952615963174
190,6.560024349697011
191,13.189187681114205
192,15.756651590265017
193,13.330028879893915
194,25.225043720656238
195,24.193310861033826
196,5.709185427429955
197,22.095778914224542
198,13.267792574805968
199,10.268942011522448
200,18.87715412061194
201,4.740668651257558
202,12.577958962807251
203,14.16690009177043
204,19.86878565725275
205,20.492571615861078
206,13.720901799132923
207,18.370382560058026
208,14.100932848661804
209,12.466154642291393
210,16.528306642550884
211,11.267300055889487
212,11.456930022226581
213,9.975071895181477
214,17.254333955622258
215,11.6801483395977
216,13.385268065983357
217,10.901733617673656
218,12.700836382590078
219,24.149722184242215
220,13.8988531120737
221,20.176174796512733
222,15.006455159052237
223,18.640254036065546
224,13.660340329597846
225,13.866908867321536
226,12.88940815373992
227,15.656435786317903
228,18.92225626693617
229,11.585010498849135
230,14.516712051945673
231,12.73133912168839
232,10.93989342176928
233,20.666973463737104
234,23.745793230357815
235,16.896848648114485
236,16.452478136070006
237,17.719112665966936
238,13.980974078542229
239,18.935424316416302
240,4.995623908327468
241,4.36924795979383
242,18.82659510381824
243,12.808168299099853
244,25.738872530778842
245,14.431934358847695
246,0.5631803228805128
247,13.18679903854209
248,15.994444905674387
249,11.391709569456344
250,5.123742500098696
251,6.971651565055825
252,8.646056504433945
253,15.966043718304348
254,7.369074263666751
255,15.072033192664481
256,10.130461446181522
257,9.8632313075578
258,10.151514740636147
259,9.933430651844422
260,9.671999975174028
261,13.617214984953318
262,24.42003560197514
263,15.139136984381892
264,16.317044787714625
