,0,1
0,646658.3550002126,5511912.850999328
1,646914.490000214,5511918.169999324
2,646838.9919784323,5511925.077479652
3,646668.1411940051,5511925.347012511
4,646913.1100002141,5511925.389999325
5,646845.6180149246,5511925.820467827
6,646821.5795344991,5511926.413023236
7,646855.5040002132,5511926.928999326
8,646811.7520002133,5511928.121999326
9,646797.0958426654,5511931.785417104
10,646674.1645022229,5511936.316942825
11,646954.9258879414,5511937.588056098
12,646769.8710449004,5511938.590461867
13,646966.6840002146,5511941.017999323
14,646746.9130002124,5511944.328999329
15,646744.3095148054,5511944.917446468
16,646911.0960002141,5511944.9809993245
17,646808.8791046158,5511949.39610389
18,646722.5403919099,5511949.837765226
19,646702.3286749619,5511954.406074682
20,646695.9270002126,5511955.8529993305
21,646750.1179337812,5511957.365904452
22,646686.1080002121,5511958.068999329
23,646859.562789918,5511961.1068741735
24,646664.6747132153,5511963.17059269
25,646752.2110002127,5511965.879999327
26,646700.7663885896,5511967.441790735
27,646645.3475970152,5511969.64125047
28,646739.2917975727,5511973.907681075
29,646800.2016085683,5511974.901445232
30,646793.0340002129,5511976.395999325
31,646914.3037477613,5511977.026623973
32,646788.4143441104,5511977.386343511
33,646781.7601116898,5511978.812852371
34,646731.0489753088,5511979.029572549
35,646773.8283838566,5511980.513225805
36,646644.0407075816,5511981.3341036765
37,646767.4080606874,5511981.889590098
38,646756.7100002129,5511984.182999328
39,646719.4170361537,5511985.942363523
40,646757.5890597625,5511986.401927609
41,646646.5144414431,5511988.121559615
42,646710.0650002124,5511989.708999328
43,646863.0960002132,5511990.858999325
44,646711.7317523533,5511993.661818619
45,646760.9030002129,5511994.766999327
46,646754.4380002128,5511998.939999325
47,646651.3842211397,5512001.483310308
48,646749.5142466915,5512002.118462824
49,646842.3388781646,5512003.738897514
50,646773.522000213,5512004.881999331
51,646741.3530307286,5512007.386827068
52,646864.2770715202,5512007.683943278
53,646655.3358755909,5512012.32589968
54,646732.2122389425,5512012.661430709
55,646762.1331513468,5512014.116978355
56,646721.180000212,5512016.068999325
57,646864.9685911883,5512017.53498241
58,646721.9948490981,5512017.863900325
59,646821.4016562144,5512020.255061442
60,646919.9613259109,5512020.633697387
61,646781.9685849735,5512021.487829325
62,646766.3420002128,5512022.417999327
63,646659.5354851902,5512023.848830891
64,646814.3981136091,5512025.779751298
65,646784.6607976902,5512026.780669915
66,646772.8318487087,5512032.321179544
67,646787.6320002135,5512032.621999327
68,646751.043228466,5512032.797669471
69,646742.32761186,5512037.767489006
70,646731.9860551195,5512039.871938842
71,646665.3834053205,5512039.894413182
72,646732.4900002128,5512040.981999327
73,646866.6666795191,5512041.72508916
74,646792.8130002132,5512042.806999329
75,646867.1889145368,5512048.872112146
76,646668.8220944327,5512049.329523078
77,646867.9850002137,5512058.699999324
78,646766.7730002126,5512061.4089993285
79,646766.3949552402,5512061.679045574
80,646676.0984659268,5512069.294504638
81,646834.2247274885,5512070.351200221
82,646868.7756860112,5512070.582836773
83,646813.0834403146,5512073.453492527
84,646747.6500002127,5512075.068999326
85,646801.680132262,5512075.126824644
86,646799.9480002128,5512075.380999327
87,646868.9015059998,5512078.251830909
88,646779.8406319421,5512078.411228203
89,646734.8329582843,5512083.335039997
90,646869.0413517413,5512090.501753992
91,646796.8394356635,5512093.378260028
92,646712.826085499,5512094.945505099
93,646802.4710002132,5512096.099999326
94,646701.9530627924,5512097.325199923
95,646686.353000212,5512097.430999329
96,646699.4090002122,5512097.881999328
97,646803.1322519408,5512098.2613508925
98,646754.2159090526,5512103.258305741
99,646868.2377650082,5512104.360564549
100,646807.1670002134,5512109.827999325
101,646834.2720971386,5512115.117215109
102,646839.634506221,5512115.580104769
103,646867.5719988577,5512115.842494984
104,646867.4480002136,5512117.980999326
105,646758.1812619712,5512127.366425579
106,646793.8550836149,5512129.026711256
107,646799.3678225132,5512139.142115887
108,646861.3481946574,5512139.613001277
109,646804.3870002131,5512140.064999332
110,646808.3858795263,5512140.943757814
111,646917.6492223497,5512143.075007535
112,646828.5571087792,5512145.376409438
113,646857.7610002136,5512151.793999324
114,646761.0873345305,5512152.303614081
115,646856.8967748488,5512154.993634239
116,646853.6299508056,5512167.088447329
117,646792.7530002132,5512171.538999328
118,646803.7143198599,5512174.688619535
119,646762.809377571,5512176.859660488
120,646850.58830264,5512178.349588296
121,646848.130000213,5512187.450999325
122,646763.2191817495,5512193.24195547
123,646763.1684890748,5512200.170752631
124,646842.6936546899,5512203.279974254
125,646790.8230002128,5512204.540999328
126,646798.2893071318,5512206.644300969
127,646813.295862041,5512210.87173388
128,646763.0516190901,5512216.144824339
129,646837.7230002136,5512217.752999329
130,646762.9848065986,5512225.276917046
131,646835.1884844718,5512227.564795435
132,646833.3861525527,5512234.542109883
133,646784.7910002132,5512241.291999328
134,646785.729969827,5512241.529074052
135,646803.23286821,5512245.948274346
136,646829.9758113474,5512247.7444633
137,646828.7740002132,5512252.396999327
138,646723.900000213,5512259.206999326
139,646826.197493807,5512260.50184848
140,646734.3060487694,5512261.509640549
141,646744.3780335318,5512263.738360428
142,646759.3620002122,5512267.053999327
143,646788.7599093447,5512278.454447904
144,646797.5852164322,5512281.876883799
145,646752.1800002139,5512283.791999322
146,646804.8967070034,5512284.71226478
147,646817.0080002135,5512289.408999328
148,646822.7898578107,5512291.611341014
149,646838.4187435389,5512297.564470435
150,646738.5860002128,5512298.019999329
151,646860.7380002133,5512306.065999326
152,646851.2330861881,5512333.773703848
153,646840.7010002134,5512378.528999324
154,646951.8655031204,5511948.079293392
155,646791.7294394637,5512103.951379022
156,646669.9352475923,5512007.005060597
157,646805.2715563608,5512014.210190981
158,646779.3464287352,5512302.728637269
159,646745.5520613252,5512024.704145155
160,646831.6295663744,5512200.15731505
161,646813.590977045,5512315.761371391
162,646802.4110813288,5512068.049857381
163,646744.0966194139,5511993.726023703
164,646847.6877147914,5511907.362695124
165,646758.0800003876,5512050.038717489
166,646661.1091616899,5511982.802415896
167,646635.4570562717,5512007.288072417
168,646801.1134234057,5511948.347411514
169,646768.6760740161,5512086.992122655
170,646705.5289973819,5512025.339065217
171,646835.7322099047,5512098.202337478
172,646839.839525563,5512264.838608065
173,646649.9622465895,5512056.203121179
174,646661.7985726007,5511951.087084109
175,646736.1878026361,5511999.385379185
176,646834.57842119,5512328.0604496645
177,646807.5485861715,5512161.34459204
178,646842.5918777115,5511964.441318715
179,646710.0292188236,5512082.166389664
180,646762.2954825381,5512290.7012942545
181,646767.3067817946,5512002.783195027
182,646671.4302158317,5512018.1505807545
183,646690.3180385968,5512062.506587254
184,646851.6712846698,5512018.468421905
185,646894.9188011414,5512023.662687961
186,646796.1493112751,5512307.268846046
187,646752.2812222808,5511988.504701849
188,646889.6307268096,5512117.121544226
189,646779.524533519,5512172.559777829
190,646725.6291961214,5511970.3073501475
191,646626.3047598099,5511987.7980888495
192,646721.1881380709,5511990.339764717
193,646750.2622329616,5512177.7395546995
194,646777.2181400398,5512216.24846987
195,646641.3452284515,5512031.841527766
196,646742.4927834158,5512225.126992692
197,646688.1051049021,5511972.729043477
198,646792.9905618075,5512224.233907372
199,646817.1193592945,5512197.299071061
200,646841.5950692451,5512163.83781087
201,646837.1501754958,5511941.502846693
202,646775.5997904376,5511993.807937816
203,646856.8000463602,5512103.697361972
204,646753.462203822,5512019.048177836
205,646831.9375800623,5512033.919114607
206,646822.077210338,5512231.620861653
207,646813.2621836456,5512009.6289432645
208,646733.5380413546,5511964.6479788525
209,646849.1646824989,5512136.025066454
210,646637.5354031429,5511946.790020558
211,646811.065519705,5512059.701906646
212,646713.6144295138,5512048.212286677
213,646687.3185347195,5511929.094399954
214,646792.5756388752,5511913.701533998
215,646872.9108403588,5511958.202662169
216,646765.9901217821,5512044.382768752
217,646785.3531500968,5511991.191338447
218,646747.5124722945,5512200.056209614
219,646845.1542552996,5512279.881578603
220,646832.542744719,5512058.88894031
221,646802.5429072602,5512192.764754335
222,646804.5744786493,5511986.858242592
223,646798.091479799,5512150.007299615
224,646829.5390194985,5511987.512763956
225,646890.8571857288,5512046.954917604
226,646698.3404899084,5512080.819055268
227,646880.6891623519,5512006.531853287
228,646807.5705359238,5512228.768297846
229,646727.2554505873,5512071.585613914
230,646698.1541394708,5511935.936544441
231,646733.6865317144,5512017.434555372
232,646778.0741811438,5512023.468724714
233,646779.8811285188,5512151.192762729
234,646811.1348964779,5512128.434078322
235,646860.1093513668,5512234.00218251
236,646797.5242883809,5512020.237632656
237,646761.6503819925,5512013.826968307
238,646790.2899838553,5512066.402447722
239,646680.4109162313,5512034.417535999
240,646658.15569668,5511930.829793744
241,646743.9190278077,5512042.637820872
242,646774.1782764237,5512039.161578506
243,646741.7218642265,5511959.429956076
244,646779.1847981759,5512193.358763599
245,646839.0007555559,5512122.921876735
246,646662.5252272779,5512075.846861249
247,646771.7049008439,5511970.607819755
248,646796.6678760211,5511965.6929672845
249,646778.7428324774,5511969.120108811
250,646765.3258780194,5511972.176837661
251,646786.3869608807,5511967.929213882
252,646816.1536838837,5512094.277526838
253,646865.9896375918,5512210.603588076
254,646782.0238843737,5512256.207575311
255,646803.4848491331,5512266.663722246
256,646890.9610528394,5512138.740215221
257,646697.9041041647,5511999.492407
258,646889.0424891447,5511981.013282783
259,646895.578571855,5512092.040483303
260,646889.699933221,5511946.277721736
261,646776.6324492092,5512129.981522581
262,646895.5015584568,5512070.144363498
263,646880.244352408,5512161.299843946
264,646848.5519404355,5512252.54292131
265,646745.7152686358,5512153.174509743
266,646854.3685510416,5512042.588388718
267,646741.7387550501,5512129.450429288
268,646854.8874215505,5512078.481750493
269,646735.5765081376,5512106.91525842
270,646717.3837791351,5511927.023199192
271,646818.6340869532,5511909.4751111455
272,646740.2943896813,5511927.153200584
273,646831.2021187424,5512133.340024259
274,646763.701435955,5511913.90783866
275,646737.8995744421,5512245.269853701
276,646742.5490821896,5512272.003719487
277,646875.8219674713,5512185.165232517
